,ID,Tweet,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Polarity,Emotions,ProcessedText,Handle,DerivedDate,hhmmss,DayCat
19,19,RT @berlinairport: Whether city- or business trip - @easyJet offers with the beginning of the new summer timetable 42 new destinations star…,FALSE,0,NA,1/30/2018 15:03,FALSE,NA,9.58E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",LiebeR13KaiserB,1,TRUE,FALSE,NA,NA,positive,unknown,RT @berlinairport: Whether city- or business trip - @easyJet offers with the beginning of the new summer timetable 42 new destinations star…,@easyJet,1/30/2018 15:03,15:03:00,Noon
26,26,Email from our founder @kareneverywoman enjoying her @easyJet #femalecaptain as she's heading to Glasgow… https://t.co/IoR9OEf5f8,FALSE,1,NA,1/30/2018 15:00,TRUE,NA,9.58E+17,NA,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",everywomanUK,0,FALSE,FALSE,NA,NA,positive,surprise,Email from our founder @kareneverywoman enjoying her @easyJet #femalecaptain as she's heading to Glasgow… t.co/IoR9OEf5f8,@easyJet,1/30/2018 15:00,15:00:00,Noon
27,27,@jamiec1979 @EssexPR @easyJet Well done you got what you’re entitled to.,FALSE,0,jamiec1979,1/30/2018 15:00,FALSE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JoeCessnaPilot,0,FALSE,FALSE,NA,NA,positive,joy,@jamiec1979 @EssexPR @easyJet Well done you got what you’re entitled to.,@easyJet,1/30/2018 15:00,15:00:00,Noon
70,70,"@easyJet Hi. Can you clarify the Tweet below? @easyjet stated it was valid in 2014?
https://t.co/2TPLAhxLe2",FALSE,0,easyJet,1/30/2018 14:40,FALSE,9.58E+17,9.58E+17,38676903,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",wallsykev,0,FALSE,FALSE,NA,NA,positive,joy,@easyJet hi there i sent a personal message. Appreciate response,@easyJet,1/30/2018 14:40,14:40:00,Noon
3,3,@leonsopinion @easyJet Phew! I'm hiring a car so hopefully that won't be an issue. Just happy that I can make it no… https://t.co/XZpLR1Wb1S,FALSE,1,leonsopinion,1/30/2018 15:11,TRUE,9.58E+17,9.58E+17,634883360,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bjarm_,0,FALSE,FALSE,NA,NA,positive,joy,@leonsopinion @easyJet Phew! I'm hiring a car so hopefully that won't be an issue. Just happy that I can make it no… t.co/XZpLR1Wb1S,@easyJet,1/30/2018 15:11,15:11:00,Noon
4,4,THIS! So much request for @EasyJet EasyJet CEO takes pay cut to match female predecessor https://t.co/3YUfLq8Rje via @CNNMoney,FALSE,0,NA,1/30/2018 15:10,FALSE,NA,9.58E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MariaUmar,0,FALSE,FALSE,NA,NA,negative,unknown,THIS! So much request for @EasyJet EasyJet CEO takes pay cut to match female predecessor t.co/3YUfLq8Rje via @CNNMoney,@easyJet,1/30/2018 15:10,15:10:00,Noon
5,5,@jackiehandleyva @EssexPR @easyJet Judging by the number of chins you have I’d bet the closest you’ve been to a gym… https://t.co/nSsxx9L5h3,FALSE,0,jackiehandleyva,1/30/2018 15:09,TRUE,9.58E+17,9.58E+17,1599376716,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JoeCessnaPilot,0,FALSE,FALSE,NA,NA,positive,unknown,@jackiehandleyva @EssexPR @easyJet Judging by the number of chins you have I’d bet the closest you’ve been to a gym… t.co/nSsxx9L5h3,@easyJet,1/30/2018 15:09,15:09:00,Noon
6,6,@EssexPR @easyJet_press @easyJet Hope your daughters ok and @easyJet do the right thing x,FALSE,1,EssexPR,1/30/2018 15:09,FALSE,9.58E+17,9.58E+17,41702018,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NicolaMcLean,0,FALSE,FALSE,NA,NA,positive,joy,@EssexPR @easyJet_press @easyJet Hope your daughters ok and @easyJet do the right thing x,@easyJet,1/30/2018 15:09,15:09:00,Noon
7,7,@jamiec1979 @JoeCessnaPilot @EssexPR @easyJet Don’t waste time explaining yourself to this cretin not everyone is as hateful x,FALSE,0,jamiec1979,1/30/2018 15:09,FALSE,9.58E+17,9.58E+17,64406588,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jackiehandleyva,0,FALSE,FALSE,NA,NA,negative,anger,@jamiec1979 @JoeCessnaPilot @EssexPR @easyJet Don’t waste time explaining yourself to this cretin not everyone is as hateful x,@easyJet,1/30/2018 15:09,15:09:00,Noon
8,8,"RT @EssexPR: @jamiec1979 @JoeCessnaPilot @easyJet Ha I can’t retweet that one Jamie 
Have they issued full refund",FALSE,0,NA,1/30/2018 15:07,FALSE,NA,9.58E+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">rtlocation8</a>",Flight_Refunds,1,TRUE,FALSE,NA,NA,negative,unknown,"RT @EssexPR: @jamiec1979 @JoeCessnaPilot @easyJet Ha I can’t retweet that one Jamie 
Have they issued full refund",@easyJet,1/30/2018 15:07,15:07:00,Noon
